FileKey,ImageSource,Multiplier,DataSource,SIFT Keypoints (Original),SIFT Keypoints (Super-Resolution),SIFT Good Matches,SIFT Match Ratio,SIFT Avg Distance,MS-SSIM,Average Perceptual Hash Functions,PSNR,NSR,LPIPS (Original),LPIPS (Super-Resolution)
AdolescenceLS_2025_Imagen3_SR_1024x1024_01,GenAI,2x,analysis/2x_results,1321,3003,1062,0.8039364118092355,40.70584170753224,0.996880054473877,0.25,41.300991190749684,0.024212493966100583,0.013590456917881966,0.25
Aladdin_1993_Imagen3_SR_1024x1024_01,GenAI,2x,analysis/2x_results,1568,3057,1225,0.78125,38.08955385733624,0.9968038201332092,0.0,41.71036412514567,0.023974856632746015,0.009878754615783691,0.0
BirdBox_2018_Imagen3_SR_1024x1024_01,GenAI,2x,analysis/2x_results,5742,36565,4164,0.7251828631138976,47.78944532746426,0.9955930113792419,0.0,34.39746821909334,0.029071907084281284,0.0308522991836071,0.0
BridgertonS1_2020_Imagen3_SR_1024x1024_01,GenAI,2x,analysis/2x_results,3210,13096,2390,0.7445482866043613,44.14667188103728,0.996479332447052,0.0,38.92419966791489,0.025690958543311996,0.013548100367188454,0.0
CarryOn_2024_Imagen3_SR_1024x1024_01,GenAI,2x,analysis/2x_results,2909,14287,2123,0.7298040563767618,41.69559212287978,0.9926700592041016,0.5,33.89556036683786,0.02950238878417724,0.03877594321966171,0.5
DahmerMonster_2022_Imagen3_SR_1024x1024_01,GenAI,2x,analysis/2x_results,993,3629,731,0.7361530715005036,40.82726878751319,0.9963037371635437,0.0,40.876936669488835,0.024463672708293114,0.02040562964975834,0.0
DontLookUp_2021_Imagen3_SR_1024x1024_01,GenAI,2x,analysis/2x_results,929,6858,681,0.7330462863293864,41.05410883640228,0.9955671429634094,0.0,37.37171201523203,0.026758206838167282,0.026005888357758522,0.0
FindingNemo_2003_Imagen3_SR_1024x1024_01,GenAI,2x,analysis/2x_results,7014,36465,5229,0.7455089820359282,47.82346811041957,0.9957542419433594,0.0,36.05498050044576,0.027735419243608707,0.02038375474512577,0.0
Frozen_2014_Imagen3_SR_1024x1024_01,GenAI,2x,analysis/2x_results,4088,13463,3170,0.775440313111546,44.1516197825832,0.9962158203125,0.5,37.19185840127177,0.026887605056213192,0.01767161674797535,0.5
InsideOut2_2024_Imagen3_SR_1024x1024_01,GenAI,2x,analysis/2x_results,614,1724,447,0.7280130293159609,48.085052262483295,0.9973094463348389,0.0,41.99305224686209,0.023813463096737018,0.009343510493636131,0.0
LupinP1_2021_Imagen3_SR_1024x1024_01,GenAI,2x,analysis/2x_results,4985,16814,3721,0.7464393179538615,40.263037247703906,0.996722400188446,0.0,36.857168231817326,0.027131764266597667,0.01806938275694847,0.0
MoneyHeistP4_2020_Imagen3_SR_1024x1024_01,GenAI,2x,analysis/2x_results,1988,9867,1421,0.7147887323943662,39.254893271961656,0.9961373209953308,0.0,36.81875703437954,0.027160069501158048,0.023307010531425476,0.0
MoneyHeistP5_2021_Imagen3_SR_1024x1024_01,GenAI,2x,analysis/2x_results,1070,8190,791,0.7392523364485981,38.40573132279248,0.9961960911750793,0.25,37.33821383337932,0.026782213109134534,0.02218738943338394,0.25
NeZha2_2025_Imagen3_SR_1024x1024_01,GenAI,2x,analysis/2x_results,1096,3086,812,0.7408759124087592,35.87263467761096,0.9964171051979065,0.25,40.168864567349644,0.024894903323028638,0.013732914812862873,0.25
RedNotice_2021_Imagen3_SR_1024x1024_01,GenAI,2x,analysis/2x_results,1862,11750,1325,0.7116004296455424,43.3404144261918,0.9954625964164734,0.25,37.18906565600942,0.02688962420432332,0.018094247207045555,0.25
Shrek2_2004_Imagen3_SR_1024x1024_01,GenAI,2x,analysis/2x_results,4824,16759,3762,0.7798507462686567,41.104759032678125,0.9969721436500549,0.5,38.06250434650398,0.02627257499654905,0.015180334448814392,0.5
SnowWhite_1938_Imagen3_SR_1024x1024_01,GenAI,2x,analysis/2x_results,3720,9314,2885,0.7755376344086021,40.35747018781857,0.996453583240509,0.25,40.84623287247225,0.024482061861668916,0.012937106192111969,0.25
SquidGameS1_2021_Imagen3_SR_1024x1024_01,GenAI,2x,analysis/2x_results,1048,6221,745,0.7108778625954199,39.10049972806201,0.9947579503059387,0.25,34.60296594071931,0.028899256835762804,0.03355361893773079,0.25
SquidGameS2_2024_Imagen3_SR_1024x1024_01,GenAI,2x,analysis/2x_results,2203,10588,1701,0.7721289151157512,36.9335750339313,0.9963200688362122,0.25,34.6924069008634,0.028824751273602543,0.02663435786962509,0.25
StrangerThingsS4_2022_Imagen3_SR_1024x1024_01,GenAI,2x,analysis/2x_results,1182,5329,882,0.7461928934010152,45.619821834185764,0.9961825013160706,0.0,40.432123272655105,0.024732809436112797,0.021549170836806297,0.0
TheAdamProject_2022_Imagen3_SR_1024x1024_01,GenAI,2x,analysis/2x_results,6996,40275,5211,0.7448542024013722,45.764726733891436,0.9959231019020081,0.25,34.754083067725745,0.028773597566976134,0.024276873096823692,0.25
TheLionKing_1994_Imagen3_SR_1024x1024_01,GenAI,2x,analysis/2x_results,2606,7768,1993,0.7647735993860323,43.040967821596375,0.9957310557365417,0.25,39.67547693583857,0.02520448592507548,0.011122599244117737,0.25
TheLionKing_2019_Imagen3_SR_1024x1024_01,GenAI,2x,analysis/2x_results,5993,54991,4415,0.7366928082763223,45.45291277897857,0.9945027232170105,0.25,31.56247977594549,0.03168318861821889,0.023510510101914406,0.25
ToyStory3_2010_Imagen3_SR_1024x1024_01,GenAI,2x,analysis/2x_results,1457,2366,1162,0.7975291695264242,37.62948677902993,0.996945858001709,0.0,43.93113989877797,0.022762896712994623,0.009224200621247292,0.0
WednesdayS1_2022_Imagen3_SR_1024x1024_01,GenAI,2x,analysis/2x_results,3060,14450,2258,0.7379084967320262,47.081641107560046,0.9962756037712097,0.0,38.37911360833918,0.026055838866031435,0.019418073818087578,0.0
AdolescenceLS_2025_Imagen3_SR_1024x1024_01,GenAI,4x,analysis/4x_results,1321,3634,1035,0.7834973504920515,49.04362359576755,0.9981943964958191,0.25,40.831309716597644,0.02449100964286499,0.015808887779712677,0.25
Aladdin_1993_Imagen3_SR_1024x1024_01,GenAI,4x,analysis/4x_results,1568,3532,1196,0.7627551020408163,46.39128454662486,0.9983623623847961,0.0,42.04350167044964,0.023784888514717887,0.012621988542377949,0.0
BirdBox_2018_Imagen3_SR_1024x1024_01,GenAI,4x,analysis/4x_results,5742,58450,4012,0.6987112504353884,58.68190911124021,0.9969279766082764,0.0,34.03280823498391,0.02938341123939497,0.03360331058502197,0.0
BridgertonS1_2020_Imagen3_SR_1024x1024_01,GenAI,4x,analysis/4x_results,3210,16872,2292,0.7140186915887851,53.905939272925075,0.9978446960449219,0.0,39.005806667167114,0.025637208545202156,0.016315428540110588,0.0
CarryOn_2024_Imagen3_SR_1024x1024_01,GenAI,4x,analysis/4x_results,2909,22418,2089,0.7181161911309728,51.42548133928619,0.9871127605438232,0.25,32.71013541975555,0.030571564047883516,0.05407040938735008,0.25
DahmerMonster_2022_Imagen3_SR_1024x1024_01,GenAI,4x,analysis/4x_results,993,4225,726,0.7311178247734139,48.51811196554463,0.9976235032081604,0.0,40.765568785376445,0.024530505271858814,0.02224961295723915,0.0
DontLookUp_2021_Imagen3_SR_1024x1024_01,GenAI,4x,analysis/4x_results,929,11444,650,0.6996770721205597,50.11275308498969,0.9958030581474304,0.0,36.303540199982855,0.027545522957027543,0.045446597039699554,0.0
FindingNemo_2003_Imagen3_SR_1024x1024_01,GenAI,4x,analysis/4x_results,7014,53908,5014,0.714856002281152,57.616043528761104,0.9971292614936829,0.5,36.56232883464836,0.027350555390562213,0.022097185254096985,0.5
Frozen_2014_Imagen3_SR_1024x1024_01,GenAI,4x,analysis/4x_results,4088,15456,3022,0.7392367906066536,52.72173681454813,0.997840940952301,0.5,36.46832657685061,0.02742105530651853,0.02128489315509796,0.5
InsideOut2_2024_Imagen3_SR_1024x1024_01,GenAI,4x,analysis/4x_results,614,2101,438,0.7133550488599348,58.112049389103234,0.9985087513923645,0.0,41.54915379294023,0.024067878854608916,0.018787827342748642,0.0
LupinP1_2021_Imagen3_SR_1024x1024_01,GenAI,4x,analysis/4x_results,4985,19546,3480,0.6980942828485457,48.88210522587272,0.9969789385795593,0.0,35.83898046725623,0.027902579452940512,0.020579231902956963,0.0
MoneyHeistP4_2020_Imagen3_SR_1024x1024_01,GenAI,4x,analysis/4x_results,1988,13030,1344,0.676056338028169,46.16206130793407,0.9968544840812683,0.0,36.20991548672225,0.02761674493183195,0.03997224569320679,0.0
MoneyHeistP5_2021_Imagen3_SR_1024x1024_01,GenAI,4x,analysis/4x_results,1070,14476,733,0.6850467289719626,45.74591576613964,0.9968698620796204,0.25,36.77066054184433,0.02719559521815004,0.032350726425647736,0.25
NeZha2_2025_Imagen3_SR_1024x1024_01,GenAI,4x,analysis/4x_results,1096,4340,797,0.7271897810218978,44.64353524920632,0.9981984496116638,0.25,39.589465923089605,0.025259244515768373,0.01959957741200924,0.25
RedNotice_2021_Imagen3_SR_1024x1024_01,GenAI,4x,analysis/4x_results,1862,19232,1237,0.6643394199785178,54.09952182719663,0.9968753457069397,0.5,36.83812617002663,0.027145788995468798,0.01973932422697544,0.5
Shrek2_2004_Imagen3_SR_1024x1024_01,GenAI,4x,analysis/4x_results,4824,21570,3614,0.7491708126036484,50.651797208194914,0.9981069564819336,0.5,38.14735255557115,0.026214138937774255,0.01820889301598072,0.5
SnowWhite_1938_Imagen3_SR_1024x1024_01,GenAI,4x,analysis/4x_results,3720,9574,2765,0.7432795698924731,49.23057018736172,0.9984871745109558,0.25,42.321095739288154,0.02362887780978849,0.015952464193105698,0.25
SquidGameS1_2021_Imagen3_SR_1024x1024_01,GenAI,4x,analysis/4x_results,1048,10477,718,0.6851145038167938,49.97791029583445,0.9927733540534973,0.0,32.97324688576882,0.030327616915142127,0.07265177369117737,0.0
SquidGameS2_2024_Imagen3_SR_1024x1024_01,GenAI,4x,analysis/4x_results,2203,13552,1608,0.7299137539718565,44.83527566559279,0.9966005682945251,0.0,33.468497343848604,0.02987884366980093,0.04436078667640686,0.0
StrangerThingsS4_2022_Imagen3_SR_1024x1024_01,GenAI,4x,analysis/4x_results,1182,6418,839,0.7098138747884941,54.0857768095719,0.9978325963020325,0.0,40.36021144426438,0.024776877132592693,0.02118409052491188,0.0
TheAdamProject_2022_Imagen3_SR_1024x1024_01,GenAI,4x,analysis/4x_results,6996,60589,4938,0.7058319039451115,56.18212066149606,0.9971976280212402,0.25,34.672441481917645,0.028841349419293692,0.026226114481687546,0.25
TheLionKing_1994_Imagen3_SR_1024x1024_01,GenAI,4x,analysis/4x_results,2606,10273,1919,0.7363775901765157,52.115411253445096,0.9977409839630127,0.25,39.47690027918381,0.02533126950008536,0.01564544066786766,0.25
TheLionKing_2019_Imagen3_SR_1024x1024_01,GenAI,4x,analysis/4x_results,5993,106342,4227,0.705322876689471,56.27901340467247,0.9949150681495667,0.25,31.118974618138573,0.0321347349091998,0.02845168113708496,0.25
ToyStory3_2010_Imagen3_SR_1024x1024_01,GenAI,4x,analysis/4x_results,1457,2287,1142,0.7838023335621139,45.14510769539247,0.9987109303474426,0.0,46.21204390354429,0.021639380462964194,0.007906392216682434,0.0
WednesdayS1_2022_Imagen3_SR_1024x1024_01,GenAI,4x,analysis/4x_results,3060,19173,2212,0.722875816993464,56.24884313431183,0.9979875683784485,0.0,38.40769159205329,0.026036451516573418,0.021141771227121353,0.0
0801x2,Control,2x,analysis/control_results_2x,11452,31043,9130,0.7972406566538596,45.57212569489014,0.9985808730125427,0.0,36.613823176468266,0.02731208907576472,0.02275685966014862,0.0
0802x2,Control,2x,analysis/control_results_2x,1778,4997,1487,0.8363329583802025,32.12136052243246,0.998741626739502,0.25,41.616794945276744,0.02402876053561866,0.007490036077797413,0.25
0803x2,Control,2x,analysis/control_results_2x,811,1882,674,0.8310727496917386,30.35060722891584,0.9992533326148987,0.75,43.21120506405926,0.023142145619811604,0.005375258158892393,0.75
0804x2,Control,2x,analysis/control_results_2x,7119,21859,5432,0.7630285152409046,46.85387646080995,0.9963355660438538,0.0,32.99099026090262,0.03031130596843868,0.03311673179268837,0.0
0805x2,Control,2x,analysis/control_results_2x,7662,21614,6034,0.7875228399895589,44.61431208457384,0.9967904686927795,0.0,34.859447569247386,0.028686627865043644,0.03675796091556549,0.0
0806x2,Control,2x,analysis/control_results_2x,3056,9738,2349,0.768651832460733,40.706772211664735,0.997183620929718,0.0,33.64464859810108,0.029722408812926062,0.01915692910552025,0.0
0807x2,Control,2x,analysis/control_results_2x,6994,26159,4921,0.7036030883614527,47.577311352752275,0.9836955070495605,0.0,25.069681423547138,0.03988881961063663,0.10100749880075455,0.0
0808x2,Control,2x,analysis/control_results_2x,3549,12394,2608,0.7348548887010425,47.05913722405404,0.9946773648262024,0.25,31.700132335226403,0.03154560963421473,0.03799045458436012,0.25
0809x2,Control,2x,analysis/control_results_2x,7497,19872,5934,0.7915166066426571,45.17987299562103,0.9989212155342102,0.5,40.474212997068065,0.0247070894268516,0.014381898567080498,0.5
0810x2,Control,2x,analysis/control_results_2x,6861,29924,5183,0.7554292377204489,47.061634150085915,0.9965364336967468,0.0,33.13329614681788,0.030181120392274646,0.03047073632478714,0.0
0811x2,Control,2x,analysis/control_results_2x,7897,24094,6088,0.7709256679751805,46.394940723551244,0.9967327117919922,0.0,35.651644809627285,0.028049196757675605,0.040978848934173584,0.0
0812x2,Control,2x,analysis/control_results_2x,5415,18627,4078,0.7530932594644506,45.11836681861747,0.9964349865913391,0.0,33.39748345959617,0.029942375784384676,0.03263907507061958,0.0
0813x2,Control,2x,analysis/control_results_2x,3880,10000,3078,0.7932989690721649,41.66429803118139,0.9976412653923035,0.0,36.723289368581966,0.027230676151127526,0.021985527127981186,0.0
0814x2,Control,2x,analysis/control_results_2x,3153,10267,2342,0.7427846495401205,46.380756128964315,0.9976302981376648,0.5,33.883668352592,0.029512743118426346,0.02019544504582882,0.5
0815x2,Control,2x,analysis/control_results_2x,3779,6885,3147,0.8327599894151893,36.968316054624495,0.998717725276947,0.5,39.912946109104645,0.025054527352263968,0.015463756397366524,0.5
0816x2,Control,2x,analysis/control_results_2x,4118,12533,3170,0.7697911607576493,44.20846788962181,0.9972724914550781,0.0,37.27682113593123,0.026826321814123182,0.027664432302117348,0.0
0817x2,Control,2x,analysis/control_results_2x,6033,12762,4856,0.8049063484170396,42.02845647889366,0.9979491233825684,0.5,37.91803123562848,0.02637267725705077,0.019807057455182076,0.5
0818x2,Control,2x,analysis/control_results_2x,6507,16839,5014,0.7705547871522975,44.08983003615287,0.9984419941902161,0.0,34.66992030525045,0.02884344674563786,0.018672160804271698,0.0
0819x2,Control,2x,analysis/control_results_2x,8993,28353,6869,0.7638163015678862,47.83842671929289,0.9977970719337463,0.0,34.40281730659766,0.029067386868,0.028706517070531845,0.0
0820x2,Control,2x,analysis/control_results_2x,8503,25618,6298,0.740679760084676,47.4492853002421,0.9957424998283386,0.25,30.056886763362535,0.033270245447340786,0.034513797610998154,0.25
0821x2,Control,2x,analysis/control_results_2x,6204,11657,4840,0.7801418439716312,36.46754055887707,0.9990436434745789,0.5,35.22657523147168,0.028387658846455013,0.010579361580312252,0.5
0822x2,Control,2x,analysis/control_results_2x,10584,22913,8463,0.7996031746031746,41.59787823762875,0.9983937740325928,0.0,36.42078388833791,0.027456849997130467,0.01887861266732216,0.0
0823x2,Control,2x,analysis/control_results_2x,4959,14449,3776,0.7614438394837669,46.6486635774816,0.995201587677002,0.0,31.11393709174529,0.032139937708664516,0.034476157277822495,0.0
0824x2,Control,2x,analysis/control_results_2x,2887,7722,2150,0.744717700034638,40.46299318402313,0.9971569180488586,0.25,32.211572944329674,0.031044742885678725,0.025278635323047638,0.25
0825x2,Control,2x,analysis/control_results_2x,7468,18979,5797,0.7762453133369042,43.51657534443512,0.9969673752784729,0.75,32.540981158071716,0.030730480901678413,0.03127004951238632,0.75
0826x2,Control,2x,analysis/control_results_2x,5722,17714,4169,0.7285914016078294,47.86670627154215,0.9904670715332031,0.5,28.82346621826518,0.03469395361499959,0.05488259345293045,0.5
0827x2,Control,2x,analysis/control_results_2x,965,2792,745,0.772020725388601,41.8069563472031,0.9969056248664856,0.0,38.01676063798681,0.02630418750094104,0.03491507098078728,0.0
0828x2,Control,2x,analysis/control_results_2x,536,920,418,0.7798507462686567,28.745265800416753,0.9925068020820618,0.5,23.654283221992966,0.042275641608545265,0.04293864965438843,0.5
0829x2,Control,2x,analysis/control_results_2x,2399,6454,1812,0.7553147144643602,39.480825194525664,0.9810891151428223,0.25,30.81490185904415,0.03245183140852681,0.10011285543441772,0.25
0830x2,Control,2x,analysis/control_results_2x,2979,10184,2196,0.7371601208459214,48.314947914881785,0.9910668730735779,0.0,29.788931264168497,0.033569515842377544,0.04941711574792862,0.0
0831x2,Control,2x,analysis/control_results_2x,5712,13714,4447,0.7785364145658263,44.12907389254685,0.9977704882621765,0.0,35.62304242351688,0.028071717965892796,0.022708900272846222,0.0
0832x2,Control,2x,analysis/control_results_2x,5885,17610,4609,0.7831775700934579,46.64448403163752,0.9982712268829346,0.25,37.755278794075636,0.026486362488651913,0.014942584559321404,0.25
0833x2,Control,2x,analysis/control_results_2x,1295,4203,1023,0.78996138996139,39.53055989415998,0.9980242252349854,0.75,38.63991242634536,0.02587997583861455,0.02210872806608677,0.75
0834x2,Control,2x,analysis/control_results_2x,5087,21039,3744,0.7359937094554747,46.534178829027546,0.9957630038261414,0.25,30.92993763147176,0.03233113535225762,0.03827521950006485,0.25
0835x2,Control,2x,analysis/control_results_2x,11063,39970,8066,0.7290969899665551,46.617880346223494,0.990803062915802,0.0,28.262984984167083,0.035381966928128776,0.0852249339222908,0.0
0836x2,Control,2x,analysis/control_results_2x,4391,14087,3163,0.7203370530630836,42.58823784314263,0.994068443775177,0.0,30.35143697660629,0.032947369205970745,0.035284724086523056,0.0
0837x2,Control,2x,analysis/control_results_2x,8260,20997,6400,0.774818401937046,44.828531129211186,0.9967477917671204,0.0,31.057576103951142,0.03219826288609754,0.03414025157690048,0.0
0838x2,Control,2x,analysis/control_results_2x,865,2084,739,0.8543352601156069,36.32718664206091,0.9980387687683105,0.0,43.35916195448518,0.023063176383568397,0.024382401257753372,0.0
0839x2,Control,2x,analysis/control_results_2x,6116,16801,4634,0.7576847612818836,44.87754573791666,0.9971300959587097,0.0,34.602500518024875,0.028899645546687804,0.02857484109699726,0.0
0840x2,Control,2x,analysis/control_results_2x,9146,23830,7181,0.7851519790072162,43.62200170724675,0.997822105884552,0.0,34.39562803002509,0.029073462450723876,0.028885791078209877,0.0
0841x2,Control,2x,analysis/control_results_2x,5093,15398,3949,0.775377969762419,45.70542816238543,0.9972454905509949,0.25,33.885454546527825,0.029511187421933757,0.028569761663675308,0.25
0842x2,Control,2x,analysis/control_results_2x,4459,15461,3481,0.7806683112805561,44.419453010686475,0.997715413570404,0.25,35.65929833881623,0.028043176579037443,0.021544257178902626,0.25
0843x2,Control,2x,analysis/control_results_2x,240,404,211,0.8791666666666667,29.63939072961491,0.9996089935302734,3.0,43.757539535117395,0.022853204513417737,0.006250164471566677,3.0
0844x2,Control,2x,analysis/control_results_2x,614,837,497,0.8094462540716613,33.28402716101295,0.9993557929992676,0.0,46.7438445104719,0.021393191135058918,0.002758161397650838,0.0
0845x2,Control,2x,analysis/control_results_2x,5974,15164,4163,0.6968530297957817,38.60270396643123,0.9925942420959473,0.0,27.91720295375283,0.035820207406042186,0.04681212455034256,0.0
0846x2,Control,2x,analysis/control_results_2x,4626,10941,3579,0.7736705577172504,42.98737771473107,0.9921552538871765,0.0,29.693372406322073,0.033677548858919375,0.043178290128707886,0.0
0847x2,Control,2x,analysis/control_results_2x,5079,15721,3966,0.780862374483166,43.86990805551132,0.996192991733551,0.0,32.87819272095205,0.030415297108552355,0.023456275463104248,0.0
0848x2,Control,2x,analysis/control_results_2x,3755,10343,2804,0.7467376830892144,39.670880361519934,0.9929158687591553,0.0,31.188172585302944,0.032063436780878855,0.03617776185274124,0.0
0849x2,Control,2x,analysis/control_results_2x,12031,34880,8960,0.744742747901255,46.240066421670576,0.9957265257835388,0.25,26.884820982119088,0.03719570982693518,0.0439247265458107,0.25
0850x2,Control,2x,analysis/control_results_2x,4240,10308,3206,0.7561320754716981,44.51748262337425,0.9959607124328613,0.25,33.41781485944794,0.029924158841800465,0.032647889107465744,0.25
0851x2,Control,2x,analysis/control_results_2x,3305,9931,2307,0.6980332829046899,47.42691335189275,0.9973607659339905,0.25,34.22984673840741,0.029214270447724663,0.01589522883296013,0.25
0852x2,Control,2x,analysis/control_results_2x,2421,11331,1783,0.7364725320115655,49.10886799787713,0.9967343807220459,0.0,35.80453300920275,0.0279294244598295,0.03116500750184059,0.0
0853x2,Control,2x,analysis/control_results_2x,2507,6144,2025,0.8077383326685281,43.252574800444236,0.9987604022026062,0.0,40.63918841217826,0.024606790614458536,0.011011017486453056,0.0
0854x2,Control,2x,analysis/control_results_2x,5676,16694,4304,0.7582804792107117,46.5402541456114,0.9940019249916077,0.5,29.871097919756906,0.03347717592056081,0.04345918446779251,0.5
0855x2,Control,2x,analysis/control_results_2x,6278,19104,4817,0.7672825740681746,44.79814820861777,0.993259608745575,0.25,34.69584244883521,0.028821897075266768,0.07345854490995407,0.25
0856x2,Control,2x,analysis/control_results_2x,8096,37466,5929,0.7323369565217391,49.22553253913734,0.995522677898407,0.0,31.21814419672438,0.03203265362919705,0.044011663645505905,0.0
0857x2,Control,2x,analysis/control_results_2x,599,920,503,0.8397328881469115,33.546883312892724,0.9924420714378357,0.0,38.64089657591985,0.025879316698442706,0.14108756184577942,0.0
0858x2,Control,2x,analysis/control_results_2x,6977,22466,5316,0.761932062491042,46.37845016622382,0.9964444041252136,0.0,34.19286688088853,0.029245865913598824,0.03433534502983093,0.0
0859x2,Control,2x,analysis/control_results_2x,8322,31185,6225,0.7480173035328046,47.65467749972899,0.9943159222602844,0.0,31.098829638056948,0.032155550920677026,0.046250101178884506,0.0
0860x2,Control,2x,analysis/control_results_2x,12422,49691,9097,0.7323297375623893,47.231063268309676,0.9924597144126892,0.0,26.216183382258627,0.038144377670043826,0.09954236447811127,0.0
0861x2,Control,2x,analysis/control_results_2x,5764,17895,4186,0.7262317834836919,47.35116309106948,0.9916113018989563,0.0,27.753966945418966,0.03603088531331766,0.07386810332536697,0.0
0862x2,Control,2x,analysis/control_results_2x,1417,4747,1108,0.7819336626676077,39.47554173301704,0.9951638579368591,1.0,38.08205276748633,0.026259088660624392,0.05287395417690277,1.0
0863x2,Control,2x,analysis/control_results_2x,2954,6178,2424,0.8205822613405552,35.920012628678045,0.9982431530952454,0.5,38.423844315415934,0.02602550624011332,0.01347547397017479,0.5
0864x2,Control,2x,analysis/control_results_2x,6967,18443,5421,0.7780967417826898,44.661395113553056,0.9966866374015808,0.0,35.802854995233645,0.027930733460589323,0.036472026258707047,0.0
0865x2,Control,2x,analysis/control_results_2x,5401,15903,4048,0.7494908350305499,44.05525902702875,0.993929922580719,0.0,32.266623677925736,0.030991776827400775,0.054237328469753265,0.0
0866x2,Control,2x,analysis/control_results_2x,8657,26525,6785,0.7837588079011205,44.15155709533017,0.9961139559745789,0.25,30.73849623075578,0.03253249581544063,0.04355606064200401,0.25
0867x2,Control,2x,analysis/control_results_2x,7038,20254,5460,0.7757885763000852,42.88739471828544,0.9975016713142395,0.25,34.24572620864244,0.029200724023415062,0.02458479255437851,0.25
0868x2,Control,2x,analysis/control_results_2x,1445,4674,1114,0.7709342560553634,42.39689937271378,0.9988909363746643,1.75,37.220540380315896,0.026866885590109555,0.007129575591534376,1.75
0869x2,Control,2x,analysis/control_results_2x,5692,19548,4260,0.7484188334504568,43.18305005960062,0.9954288005828857,0.0,28.80521563866907,0.03471593521617548,0.04365082457661629,0.0
0870x2,Control,2x,analysis/control_results_2x,13788,32960,10958,0.794749057151146,45.15548824332757,0.9986652731895447,0.25,36.04146115094175,0.027745822951294814,0.02329043298959732,0.25
